candidate_id,smiles,provenance,canonical_smiles,contract_valid,rejection_reasons,ad_max_morgan_tanimoto,ad_status
enum-050192,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccncc1)cc(C(C)O)c2,deterministic-enumeration,CC(O)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(-c2ccncc2)c1,true,,0.377049,in_domain
enum-050193,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccncc1)cc(C(C)F)c2,deterministic-enumeration,CC(F)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(-c2ccncc2)c1,true,,0.377049,in_domain
enum-050194,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccncc1)cc(C(C)Cl)c2,deterministic-enumeration,CC(Cl)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(-c2ccncc2)c1,true,,0.403509,in_domain
enum-050195,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccncc1)cc(C(C)Br)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccncc3)cc(C(C)Br)c2)c(N=[N+]=[N-])c1,true,,0.377049,in_domain
enum-050196,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccncc1)cc(C(C)C#N)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccncc3)cc(C(C)C#N)c2)c(N=[N+]=[N-])c1,true,,0.359375,in_domain
enum-050227,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccoc1)cc(c1ccoc1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccoc3)cc(-c3ccoc3)c2)c(N=[N+]=[N-])c1,true,,0.481481,in_domain
enum-050228,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccoc1)cc(c1ccsc1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccoc3)cc(-c3ccsc3)c2)c(N=[N+]=[N-])c1,true,,0.412698,in_domain
enum-050229,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccoc1)cc(C(=O)N)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C(N)=O)cc(-c3ccoc3)c2)c(N=[N+]=[N-])c1,true,,0.406250,in_domain
enum-050230,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccoc1)cc(C(C)O)c2,deterministic-enumeration,CC(O)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(-c2ccoc2)c1,true,,0.433333,in_domain
enum-050231,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccoc1)cc(C(C)F)c2,deterministic-enumeration,CC(F)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(-c2ccoc2)c1,true,,0.433333,in_domain
enum-050232,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccoc1)cc(C(C)Cl)c2,deterministic-enumeration,CC(Cl)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(-c2ccoc2)c1,true,,0.464286,in_domain
enum-050233,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccoc1)cc(C(C)Br)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccoc3)cc(C(C)Br)c2)c(N=[N+]=[N-])c1,true,,0.433333,in_domain
enum-050234,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccoc1)cc(C(C)C#N)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccoc3)cc(C(C)C#N)c2)c(N=[N+]=[N-])c1,true,,0.412698,in_domain
enum-050235,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccoc1)cc(C1CCOCC1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccoc3)cc(C3CCOCC3)c2)c(N=[N+]=[N-])c1,true,,0.388060,in_domain
enum-050266,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccsc1)cc(c1ccsc1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccsc3)cc(-c3ccsc3)c2)c(N=[N+]=[N-])c1,true,,0.454545,in_domain
